date,ch_area,disk_median
2014-04-23,0.00013,332.69
2014-04-24,0.03719,328.94
2014-04-25,0.04088,319.19
2014-04-26,0.03694,321.62
2014-04-27,0.01295,323.25
2014-04-28,0.0,331.94
2014-04-29,0.00621,339.44
2014-04-30,0.0,338.12
2014-05-01,5e-05,341.56
2014-05-02,0.00414,335.06
2014-05-03,0.01352,325.44
2014-05-04,0.00415,303.19
2014-05-05,0.01643,309.44
2014-05-06,0.0008,307.38
2014-05-07,0.06524,304.5
2014-05-08,0.12567,307.69
2014-05-09,0.13376,310.19
2014-05-10,0.03519,318.31
2014-05-11,0.03802,316.62
2014-05-12,0.00833,336.25
2014-05-13,0.04212,336.38
2014-05-14,0.00586,318.31
2014-05-15,0.00632,336.75
2014-05-16,0.01081,346.81
2014-05-17,0.03735,341.06
2014-05-18,0.06404,338.44
2014-05-19,0.01375,334.62
2014-05-20,0.00145,328.75
2014-05-21,0.01987,314.31
2014-05-22,0.00843,303.81
2014-05-23,0.04325,305.78
2014-05-24,0.04969,290.94
2014-05-25,0.03152,285.94
2014-05-26,0.01662,61.75
2014-05-27,0.00051,301.19
2014-05-28,0.0,304.06
2014-05-29,0.00631,292.06
2014-05-30,0.00127,285.62
2014-05-31,0.01296,269.44
2014-06-01,0.03056,264.75
2014-06-02,0.02682,269.44
2014-06-03,0.04476,267.94
2014-06-04,0.01961,262.31
2014-06-05,0.08115,266.94
2014-06-06,0.12533,281.62
2014-06-07,0.08743,303.94
2014-06-08,0.01918,313.5
2014-06-09,0.03581,326.03
2014-06-10,0.05806,321.06
2014-06-11,0.02078,304.94
2014-06-12,0.03751,308.62
2014-06-13,0.00902,73.38
2014-06-14,0.03126,291.31
2014-06-15,0.01234,299.88
2014-06-16,0.05604,40.94
2014-06-17,0.02204,285.81
2014-06-18,0.02524,289.06
2014-06-19,2e-05,279.69
2014-06-20,2e-05,268.75
2014-06-21,0.00584,265.25
2014-06-22,0.00781,268.94
2014-06-23,0.00012,261.12
2014-06-24,0.02786,258.5
2014-06-25,0.05344,253.12
2014-06-26,0.03518,255.25
2014-06-27,0.04468,259.19
2014-06-28,0.01836,264.44
2014-06-29,0.04609,137.38
2014-06-30,0.01615,287.56
2014-07-01,0.01251,295.62
2014-07-02,,
2014-07-03,0.03504,351.81
2014-07-04,0.02745,361.38
2014-07-05,0.00685,361.44
2014-07-06,0.05385,390.62
2014-07-07,0.04359,390.31
2014-07-08,0.11684,375.06
2014-07-09,0.01807,356.12
2014-07-10,0.0287,345.12
2014-07-11,0.03456,308.69
2014-07-12,0.03866,107.25
2014-07-13,0.02037,296.06
2014-07-14,0.00515,286.62
2014-07-15,0.0457,274.19
2014-07-16,,
2014-07-17,0.02505,248.44
2014-07-18,0.01282,236.31
2014-07-19,0.0,244.12
2014-07-20,0.0,237.19
2014-07-21,0.00708,230.38
2014-07-22,0.001,229.56
2014-07-23,0.01373,224.75
2014-07-24,0.07888,232.62
2014-07-25,0.05473,246.0
2014-07-26,0.00138,258.25
2014-07-27,0.00186,268.06
2014-07-28,3e-05,284.38
2014-07-29,0.0,306.19
2014-07-30,0.00208,332.0
2014-07-31,0.01393,354.06
2014-08-01,0.06052,358.81
2014-08-02,0.01978,349.31
2014-08-03,0.05106,355.81
2014-08-04,0.1704,330.88
2014-08-05,,
2014-08-06,0.09294,321.12
2014-08-07,0.09169,305.81
2014-08-08,0.02378,292.38
2014-08-09,0.00361,275.31
2014-08-10,0.04311,269.94
2014-08-11,0.01131,263.12
2014-08-12,0.01472,260.69
2014-08-13,0.06863,251.12
2014-08-14,0.0446,253.06
2014-08-15,0.00164,260.06
2014-08-16,0.0,256.81
2014-08-17,0.00902,272.38
2014-08-18,0.02888,275.5
2014-08-19,2e-05,275.0
2014-08-20,2e-05,281.31
2014-08-21,0.00458,288.31
2014-08-22,0.0073,303.81
2014-08-23,0.00036,288.19
2014-08-24,0.01996,285.25
2014-08-25,0.0307,303.72
2014-08-26,0.03125,292.62
2014-08-27,0.01806,190.38
2014-08-28,0.0702,296.12
2014-08-29,0.06642,297.75
2014-08-30,0.02514,296.0
2014-08-31,0.07578,300.0
2014-09-01,0.1226,303.31
2014-09-02,0.07448,285.44
2014-09-03,0.0659,288.69
2014-09-04,0.07258,288.12
2014-09-05,0.0565,285.25
2014-09-06,0.09551,283.38
2014-09-07,0.00081,282.75
2014-09-08,0.02986,292.62
2014-09-09,0.02981,36.25
2014-09-10,0.02861,319.56
2014-09-11,0.05094,310.62
2014-09-12,0.0335,328.94
2014-09-13,0.00775,324.75
2014-09-14,0.00815,311.06
2014-09-15,0.03419,320.0
2014-09-16,0.09823,311.56
2014-09-17,0.13816,134.06
2014-09-18,0.02661,305.94
2014-09-19,0.0,293.38
2014-09-20,0.03991,298.81
2014-09-21,0.05366,299.81
2014-09-22,0.00108,290.94
2014-09-23,,
2014-09-24,0.04131,164.81
2014-09-25,0.01331,273.94
2014-09-26,0.02293,284.38
2014-09-27,0.04374,286.69
2014-09-28,0.09366,284.06
2014-09-29,,
2014-09-30,,
2014-10-01,0.08626,301.94
2014-10-02,0.04551,315.12
